23/09/2026,Ing. Raúl,ED10,1,1,1,1,1,0,0,0,1,0,0,20,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,10,10,10
23/09/2026,Ing. Raúl,ED21,1,50,20,0,50,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,11,0,11,15,14
23/09/2026,Ing. Raúl,ED22,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,13,26,0,17,21,22
23/09/2026,Ing. Raúl,ED23,1,1,1,1,1,0,0,0,1,0,0,70,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,10,0,8,10,10
23/09/2026,Ing. Raúl,ED24,1,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,10,0,15,15,15
23/09/2026,Ing. Raúl,ED25,1,1,1,1,1,0,0,0,1,0,0,40,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,15,0,15,15,15
23/09/2026,Ing. Raúl,ED26,1,50,10,0,60,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,15,0,20,20,20
23/09/2026,Ing. Raúl,ED27,100,100,100,100,100,0,0,0,100,0,0,30,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,El residente reporta que todo el personal del contratista y el personal que llego, lo concentro en el edificio 34 para el colado de azotea, por lo que no hubo ni avance ni personal para este edificio
23/09/2026,Ing. Raúl,ED28,1,1,1,1,1,0,0,0,1,0,0,80,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,10,13,0,9,11,11
23/09/2026,Ing. Raúl,ED29,1,1,1,1,1,0,0,0,1,0,0,30,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,13,12,0,9,11,11
23/09/2026,Ing. Raúl,ED30,1,1,1,1,1,0,0,0,1,0,0,90,60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,11,0,9,11,11
23/09/2026,Ing. Raúl,ED31,1,30,0,0,55,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,10,0,15,15,15
23/09/2026,Ing. Raúl,ED32,1,1,1,1,1,0,0,0,1,0,0,50,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,15,0,20,20,20
23/09/2026,Ing. Raúl,ED33,1,20,0,0,20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,15,0,15,15,15
23/09/2026,Ing. Raúl,ED34,1,1,1,1,1,0,0,0,1,0,0,90,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,17,18,0,8,14,21
